primary_field,type,syntax,semantic
aatot,basic,"'-' ""AATOT” timehhmm",The Anticipated Actual Take-Off Time (AATOT) of the flight.
ad,compound,"'-' ""AD"" adid [(fl | flblock)] [eto] [to] [cto] [sto]  [ptstay] [ptrfl] [ptrulchg] [(ptspeed | ptmach)]",The designator of an aerodrome. In cases where the  aerodrome forms part of the route description additional  routing information may be provided.
ada,basic,"'-' ""ADA"" date",Actual date of arrival.
adarr,basic,‘-’ “ADARR” (icaoaerodrome | 'ZZZZ'),Actual aerodrome of arrival.
adarrz,basic,"'-' ""ADARRZ"" 1{LIM_CHAR}20",Name of actual aerodrome of arrival if no ICAO location  indicator exists.
add,basic,"'-' ""ADD"" date",Actual date of departure.
addr,compound,"'- ""BEGIN"" ""ADDR"" 1 { fac } '-' ""END"" ""ADDR""",List of addressees.
adep,basic,"'-' ""ADEP"" (icaoaerodrome | 'AFIL' | 'ZZZZ')",ICAO location indicator of the aerodrome of departure or the  indication ‘AFIL’ meaning an air-filed flight plan or ‘ZZZZ’  when no ICAO location indicator is assigned to the  aerodrome of departure.
adepk,basic,"'-' ""ADEPK"" (icaoaerodrome | 'AFIL' | 'ZZZZ' |  icaoaerodromewldcrd)","Aerodrome of departure used as database key in a query,  may be wild-carded.  May contain an ICAO location indicator or the indication  ‘AFIL’ meaning an air-filed flight plan or ‘ZZZZ’ when no  ICAO location indicator is assigned to the aerodrome of  departure or a combination of alphabetic and wildcard  characters."
adepold,basic,"'-' ""ADEPOLD"" (icaoaerodrome | 'AFIL' | 'ZZZZ')","The ""previous"" aerodrome of departure. May contain the  ICAO location indicator or the indication ‘AFIL’ meaning an  air-filed flight plan or ‘ZZZZ’ when no ICAO location indicator  is assigned to the aerodrome of departure."
ades,basic,"'-' ""ADES"" (icaoaerodrome | 'ZZZZ')",The ICAO location indicator of the aerodrome of destination  or ‘ZZZZ’ when no ICAO location indicator is assigned to the  aerodrome of destination.
adesk,basic,"'-' ""ADESK"" (icaoaerodrome | 'ZZZZ' |  icaoaerodromewldcrd)","The aerodrome of destination used as database key in a  query, may be wild-carded.  May contain an ICAO location indicator or ‘ZZZZ’ when no  ICAO location indicator has been assigned to the aerodrome  of destination or a combination of alphabetic and wildcard  characters."
