subfield,kind,syntax,semantic,used_in_primary_field,used_in_subfield
addrinfo,compound,"'-' ""ADDRINFO"" networktype fac",Address information,unit,
adid,basic,"'-' ""ADID"" icaoaerodrome | 'ZZZZ'",The designator of an aerodrome.  May contain the ICAO location  indicator or the characters ‘ZZZZ’  where no location indicator has  been assigned.,ad  position  stay  tto,
adname,basic,"'-' ""ADNAME"" 1{LIM_CHAR}50",Name of an aerodrome.,altnz  depz  destz,
adsaddress,basic,‘-‘ “ADSADDRESS” (36{hexadecimal}  36) |  (38{hexadecimal}38),"The ATN address of the ADS  application.  Must contain thirty six or thirty eight  of the defined characters in any  order, with or without repetition.",,adsqvltsp
adsqvltsp,compound,‘-‘ “ADSQVLTSP” agappqualifier  agappversion adsaddress’,"Parameter containing the ATN ADS  application type, version and  address.",atnlogon  atnlogonb2,
agappqualifier,basic,"'-' ""AGAPPQUALIFIER""  1{‘0’ | ‘2’ | ‘3’ |  ‘22’} 1",ATN air/ground application type.  Must contain one of the defined  character groups.,,atiqv  cpcqvltsp  adsqvltsp
agappversion,basic,"'-' ""AGAPPVERSION"" 3{ ‘00’ | ‘01’ |  ‘02’} 3",ATN air/ground application version  for all 3 applications.,,atiqv  cpcqvltsp  adsqvltsp
airroute,compound,"'-' ""AIRROUTE"" [num] refatsrte flblock  valperiod [remark]",Description of all or part of an ATS  route during a specified period.,lacdr  lcatsrte,
airspace,compound,"'-' ""AIRSPACE"" [num] airspdes flblock  valperiod respunit [remark]",Description of all or part of an  airspace during a specified period.,latsa  lrar  lrca,
airspdes,basic,"'-' ""AIRSPDES"" 3 { ALPHANUM }12",Designates an airspace other than  an ATS route.,entrydata,airspace  asp
appname,basic,"'-' ""APPNAME""  ‘ADS’ I ‘ATC’",FANS ATN air/ground application  name,fanslogon,
appversion,basic,"'-' ""APPVERSION""  2{ ‘00’ | ‘01’}2",FANS air/ground application version  for all 2 applications.,fanslogon,
asec,compound,‘-‘ “ASEC” {sector eslist},Assigned sector composed of sector  identifier and list of its elementary  sectors.,seclist,
asp,compound,‘-‘ “ASP” airspdes eti xti,Designator of the airspace and entry  and exit times.,asplist,
atiqv,compound,‘-‘ “ATIQV” agappqualifier  agappversion,Parameter containing the ATN ATI  application type and ATN ATI  application version.,atnlogon,
brng,basic,"'-' ""BRNG"" refbearing",Bearing of a point from a navigation  aid in degrees magnetic.,ref,
cmltsp,basic,‘-‘ “CMLTSP” (36{hexadecimal}36) |  (38{hexadecimal}38),"Transport layer address, includes  the hexadecimal address which  must contain either thirty six or thirty  eight hexadecimal characters.",atnlogon,
condition,basic,"'-' ""CONDITION"" 2 {ALPHA} 20","Type of condition or restriction e.g.  TOS, FL restriction.",ignore,
cpcqvltsp,compound,‘-‘ “CPCQVLTSP” agappqualifier  agappversion cpdlcaddress,"Parameter containing the ATN  CPDLC application type, version  and address.",atnlogon  atnlogonb2,
cpdlcaddress,basic,‘-‘ “CPDLCADDRESS”  36{hexadecimal}36) |   (38{hexadecimal}38),"The ATN address of the CPDLC  application.  Must contain thirty-six or thirty eight  of the defined characters in any  order, with or without repetition.",,cpcqvltsp
crfl1,basic,"'-' ""CRFL1"" flightlevel",The lower limit of the flight level  band within which a cruise climb is  requested.,crsclimb,ptcrsclimb
crfl2,basic,"'-' ""CRFL2"" (flightlevel | ""PLUS"")","The upper limit of the flight level  band within which a cruise climb is  requested. ""PLUS"" where the upper  limit is unknown.",crsclimb,ptcrsclimb
crmach,basic,"'-' ""CRMACH"" machnumber",The Mach No. maintained during a  cruise climb.,crsclimb,ptcrsclimb
crspeed,basic,"'-' ""CRSPEED"" spd",The speed to be maintained during  a cruise climb.,crsclimb,ptcrsclimb
cto,basic,"'-' ""CTO"" timehhmm",Calculated Time Over a point.,p ad  osition,pt
distnc,basic,"'-' ""DISTNC"" 1{ DIGIT }3","Distance of a point from a  navigation aid in nautical miles.  Must be 1 to 3 digits, possibly with  leading zeroes.",ref,
endreg,basic,"'-' ""ENDREG"" day!timehhmm",The time at which an ATFM  Regulation finishes.,,exccond  regulation
eqpt,basic,"'-' ""EQPT"" eqptcode ! '/' ! eqptstatus",Equipment capability code followed  by a status value which specifies the  current status of the capability.,eqcst,
esec,compound,"'-' ""ESEC"" secid flblock freq",Elementary sector definition,,eslist
eslist,compound,"'-' ""BEGIN"" ""ESLIST"" {esec} '-' ""END"" ""  ESLIST""",Elementary sector list,,asec
eti,basic,"'-' ""ETI"" datetime ! seconds",The entry time of an airspace or a  regulation.,,asp
eto,basic,"'-' ""ETO"" date ! timehhmm ! seconds","Estimated Time Over a point, in  year, month, day, hours, minutes  and seconds.",ad  afildata  estdata  vec,pt
exccond,compound,"'-' ""EXCCOND""  regnum refloc  regreason startreg endreg [flblock]  [rvrlimit] [remark]",An “exceptional condition” raised in  the context of ATFM e.g. fog at an  aerodrome.,,reglist
fac,basic,"'-' ""FAC"" 1{ LIM_CHAR }30",Address data.,addr  cassaddr  extaddr  origin  spladdr,addrinfo  recvr  sender
fir,basic,"'-' ""FIR"" 7{ ALPHA }7",Designates a FIR or UIR.,lfir,
