Ref,Message Intent,Message Element,Resp,Data link system
UM  0,Indicates  that  ATC  cannot  comply  with  the request.,UNABLE,N  or  NE,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  1,"Indicates  that  ATC  has  received  the  message and will respond.  Note.—  The  flight  crew  is  informed  that  the  request  is  being  assessed  and  there  will  be  a  short-term  delay  (e.g.  as  appropriate, given the situation, but not to  exceed  10  minutes).  The  exchange  is  not  closed  and  the  request  will  be  responded  to when conditions allow.",STANDBY,N  or  NE,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  2,Indicates  that  ATC  has  received  the  request but it has been deferred until later.  Note.—  The  flight  crew  is  informed  that  the request is being assessed and a long- term delay can be expected. The exchange  is  not  closed  and  the  request  will  be  responded to when conditions allow.,REQUEST DEFERRED,N  or  NE,FANS 1/A
UM  3,Indicates  that  ATC  has  received  and  understood the message.,ROGER,N  or  NE,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  4,Yes.,AFFIRM,N  or  NE,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  5,No,NEGATIVE,N  or  NE,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  235,Notification  of  receipt  of  unlawful  interference message.,ROGER 7500,N,N/A  (Urgent)
UM  211,Indicates  that  the  ATC  has  received  the  request  and  has  passed  it  to  the  next  control authority.  FANS 1/A and FANS 1/A-ATN B1.— Uses  UM 169x free text for FANS 1/A aircraft.,REQUEST FORWARDED  N,,FANS 1/A  [free text]  ATN B1  FANS 1/A- ATN B1
UM  218,Indicates  to  the  pilot  that  the  request  has  already been received on the ground.,REQUEST  ALREADY  RECEIVED,N,N/A
UM  237,Indicates  that  the  request  cannot  be  responded to by the current unit and that it  should be requested from the next unit.  FANS 1/A and FANS 1/A-ATN B1.— Uses  UM 169ab free text for FANS 1/A aircraft.,REQUEST  AGAIN  WITH  NEXT UNIT,N,FANS 1/A  [free text]  ATN B1  FANS 1/A- ATN B1
UM  6,Notification  that  a  level  change  instruction should be expected.  Note.— Avoid use of this message element  due to potential misinterpretation.,EXPECT [level],R,FANS 1/A
UM  7,Notification  that  an  instruction  should  be  expected  for  the  aircraft  to  commence  climb at the specified time.  Note.—    The  controller  should  only  use  this  message  to  respond  to  a  flight  crew  request (e.g. WHEN CAN WE EXPECT).,EXPECT  CLIMB  AT  [time],R,FANS 1/A
UM  8,Notification  that  an  instruction  should  be  expected  for  the  aircraft  to  commence  climb at the specified position.  Note.—    The  controller  should  only  use  this  message  to  respond  to  a  flight  crew  request (e.g. WHEN CAN WE EXPECT).,EXPECT  CLIMB  AT  [position],R,FANS 1/A
UM  9,Notification  that  an  instruction  should  be  expected  for  the  aircraft  to  commence  descent at the specified time.  Note.—    The  controller  should  only  use  this  message  to  respond  to  a  flight  crew  request (e.g. WHEN CAN WE EXPECT).,EXPECT  DESCENT  AT  [time],R,FANS 1/A
UM  10,Notification  that  an  instruction  should  be  expected  for  the  aircraft  to  commence  descent at the specified position.  Note.—    The  controller  should  only  use  this  message  to  respond  to  a  flight  crew  request (e.g. WHEN CAN WE EXPECT).,EXPECT  DESCENT  AT  [position],R,FANS 1/A
UM  11,Notification  that  an  instruction  should  be  expected  for  the  aircraft  to  commence  cruise climb at the specified time.  Note.— Avoid use of this message element  due to potential misinterpretation.,EXPECT  CRUISE  CLIMB  AT [time],R,FANS 1/A
UM  12,Notification  that  an  instruction  should  be  expected  for  the  aircraft  to  commence  cruise climb at the specified position.  Note.— Avoid use of this message element  due to potential misinterpretation.,EXPECT  CRUISE  CLIMB  AT [position],R,FANS 1/A
UM  13,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  AT  [time]  EXPECT  CLIMB  TO  [altitude],  as  it  is  reserved  in  ICAO  Doc 4444.",N/A,R,FANS 1/A
UM  14,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  AT  [position]  EXPECT  CLIMB  TO  [altitude],  as  it  is  reserved  in  ICAO  Doc 4444.",N/A,R,FANS 1/A
UM  15,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  AT  [time]  EXPECT  DESCENT  TO  [altitude],  as  it  is  reserved  in  ICAO  Doc 4444.",N/A,R,FANS 1/A
UM  16,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  AT  [position]  EXPECT  DESCENT TO [altitude], as it is reserved  in ICAO Doc 4444.",N/A,R,FANS 1/A
UM  17,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  AT  [time]  EXPECT  CRUISE  CLIMB TO [altitude], as it is reserved in  ICAO Doc 4444.",N/A,R,FANS 1/A
UM  18,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  AT  [position]  EXPECT  CRUISE  CLIMB TO [altitude], as it is reserved in  ICAO Doc 4444.",N/A,R,FANS 1/A
UM  19,Instruction to maintain the specified level. MAINTAIN [level],,W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  20,Instruction  that  a  climb  to  a  specified  level  is  to  commence  and  once  reached  the specified level is to be maintained.,CLIMB  TO  [level]  or  CLIMB  TO  AND  MAINTAIN [altitude],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  21,"Instruction  that  at  the  specified  time  a  climb  to  the  specified  level  is  to  commence and once reached the specified  level is to be maintained.  Note 1.—  Instruction that NOT BEFORE  the specified time, a climb to the specified  level  is  to  commence  and  once  reached  the specified level is to be maintained.  Note  2.—    Precede  this  message  element  with  UM  19  MAINTAIN  [level],  to  prevent  the  premature  execution  of  the  instruction.",AT  [time]  CLIMB  TO  [level] or AT [time] CLIMB  TO  AND  MAINTAIN  [altitude],W/U,FANS 1/A
UM  22,"Instruction that at the specified position a  climb  to  the  specified  level  is  to  commence and once reached the specified  level is to be maintained.  Note  1.—    Instruction  that  AFTER  PASSING  the  specified  position,  a  climb  to the specified level is to commence and  once  reached  the  specified  level  is  to  be  maintained.  Note  2.—    Precede  this  message  element  with  UM  19  MAINTAIN  [level],  to  prevent  the  premature  execution  of  the  instruction.",AT  [position]  CLIMB  TO  [level]  or  AT  [position]  CLIMB  TO  AND  MAINTAIN [altitude],W/U,FANS 1/A
UM  185,(Reserved),N/A,W/U,N/A
UM  23,Instruction  that  a  descent  to  a  specified  level  is  to  commence  and  once  reached  the specified level is to be maintained.,DESCEND  TO  [level]  or  DESCEND  TO  AND  MAINTAIN [altitude],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  24,"Instruction  that  at  a  specified  time  a  descent  to  a  specified  level  is  to  commence and once reached the specified  level is to be maintained.  Note  1.—  Instruction  that  NOT  BEFORE  the  specified  time,  a  descent  to  the  specified  level  is  to  commence,  and  once  reached,  the  specified  level  is  to  be  maintained.  Note  2.—    Precede  this  message  element  with  UM  19  MAINTAIN  [level],  to  prevent  the  premature  execution  of  the  instruction.",AT  [time]  DESCEND  TO  [level]  or  AT  [time]  DESCEND  TO  AND  MAINTAIN [altitude],W/U,FANS 1/A
UM  25,"Instruction that at the specified position a  descent  to  the  specified  level  is  to  commence and once reached the specified  level is to be maintained.  Note  1.—  Instruction  that  AFTER  PASSING the specified position, a descent  to the specified level is to commence and  once  reached  the  specified  level  is  to  be  maintained.  Note  2.—    Precede  this  message  element  with  UM  19  MAINTAIN  [level],  to  prevent  the  premature  execution  of  the  instruction.",AT  [position]  DESCEND  TO [level] or AT [position]  DESCEND  TO  AND  MAINTAIN [altitude],W/U,FANS 1/A
UM  186,(Reserved),N/A,W/U,N/A
UM  26,"Instruction that a climb is to commence at  a  rate  such  that  the  specified  level  is  reached  at  or  before  the  specified  time.   When  this  message  element  is  not  concatenated  with  another  vertical  clearance,  the  level  specified  is  the  assigned level which is to be maintained.  Note.—    Instruction  that  a  climb  is  to  commence at a rate such that the specified  level  is  reached  NOT  LATER  THAN  the  specified time.",CLIMB TO REACH [level]  BY [time],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  27,"Instruction that a climb is to commence at  a  rate  such  that  the  specified  level  is  reached at or before the specified position.   When  this  message  element  is  not  concatenated  with  another  vertical  clearance,  the  level  specified  is  the  assigned level which is to be maintained.  Note.—    Instruction  that  a  climb  is  to  commence at a rate such that the specified  level  is  reached  BEFORE  PASSING  the  specified position.",CLIMB TO REACH [level]  BY [position],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  28,"Instruction that a descent is to commence  at  a  rate  such  that  the  specified  level  is  reached  at  or  before  the  specified  time.   When  this  message  element  is  not  concatenated  with  another  vertical  clearance,  the  level  specified  is  the  assigned level which is to be maintained.  Note.—    Instruction  that  a  descent  is  to  commence at a rate such that the specified  level  is  reached  NOT  LATER  THAN  the  specified time.",DESCEND  TO  REACH  [level] BY [time],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  29,"Instruction that a descent is to commence  at  a  rate  such  that  the  specified  level  is  reached at or before the specified position.   When  this  message  element  is  not  concatenated  with  another  vertical  clearance,  the  level  specified  is  the  assigned level which is to be maintained.  Note.—    Instruction  that  a  descent  is  to  commence at a rate such that the specified  level  is  reached  BEFORE  PASSING  the  specified position.",DESCEND  TO  REACH  [level] BY [position],W/U,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  192,"Instruction  that  a  change  of  level  is  to  continue,  but  at  a  rate  such  that  the  specified level is reached at or before the  specified time.",REACH [level] BY [time],W/U,N/A
UM  209,"Instruction  that  a  change  of  level  is  to  continue,  but  at  a  rate  such  that  the  specified level is reached at or before the  specified position.",REACH  [level]  BY  [position],W/U,N/A
UM  30,"Instruction that a level within the defined  vertical  range  specified  is  to  be  maintained.  FANS 1/A-ATN B1.—    FANS 1/A  aircraft  only.    ATN B1  aircraft  accepts  UM  19  MAINTAIN  [level],  where  [level]  is  a  vertical range.",MAINTAIN  BLOCK  [level] TO [level],W/U,FANS 1/A  FANS 1/A- ATN B1
UM  31,"Instruction  that  a  climb  to  a  level  within  the vertical range defined is to commence. FANS 1/A-ATN B1.—    FANS 1/A  aircraft  only.    ATN B1  aircraft  accepts  UM  20  CLIMB  TO  [level],  where  [level]  is  a  vertical range.",CLIMB  TO  AND  MAINTAIN  BLOCK  [level] TO [level],W/U,FANS 1/A  FANS 1/A- ATN B1
UM  32,"Instruction that a descent to a level within  the vertical range defined is to commence. FANS 1/A-ATN B1.—    FANS 1/A  aircraft  only.    ATN B1  aircraft  accepts  UM  23  DESCEND TO  [level], where  [level] is a  vertical range.",DESCEND  TO  AND  MAINTAIN  BLOCK  [level] TO [level],W/U,FANS 1/A  FANS 1/A- ATN B1
UM  34,"Instruction  that  a  cruise  climb  to  the  specified  level  is  to  commence  and  continue  and,  once  reached  the  specified  level is to be maintained.  Note.— Avoid use of this message element  due to potential misinterpretation.",CRUISE  CLIMB  TO  [level],W/U,FANS 1/A
